State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.14560	1.12912	1.10714	1.08791	1.07555	1.02473	1.03434	1.02335	1.00275	0.97802	0.98352	0.93407	0.90522	0.89148	0.87775	0.86676	0.83104	0.81456	0.81593	0.85165	0.84615
2	1.89778	1.86296	1.93696	1.87167	1.73673	1.85861	1.79767	1.88472	1.94566	1.89778	1.82814	1.82814	1.68885	1.63227	1.54521	1.58003	1.61921	1.70191	1.78896	1.76285	1.88037
3	2.37249	2.46036	2.41874	2.38636	2.49505	2.56904	2.65229	2.68003	2.64304	2.65460	2.69160	2.85346	2.95521	2.89508	2.96677	2.93902	2.94596	2.94596	2.96677	2.91821	3.05001
4	1.99885	1.72378	1.85214	1.87048	2.01718	2.10276	2.14555	2.35949	2.51231	2.50009	2.07831	2.32893	2.39617	2.41451	2.50009	2.52454	2.54899	2.50009	2.41451	2.46341	2.29225
5	3.39444	3.24320	3.36083	3.23480	3.05836	2.99954	3.15918	3.13398	3.15918	2.90712	3.00794	3.09197	3.31042	3.26001	3.12557	3.15918	3.01635	2.94073	3.10877	3.04155	3.06676
6	4.79459	4.77757	4.47117	4.49386	4.52791	4.26690	4.13640	3.90376	3.76758	3.65410	3.47253	3.43281	3.35338	3.41012	3.52927	3.56899	3.75056	3.83000	3.62006	3.54629	3.41012
7	1.31748	1.37359	1.34919	1.39311	1.36383	1.45410	1.41507	1.46142	1.41751	1.47850	1.34188	1.29308	1.20281	1.27356	1.34675	1.29552	1.30284	1.31016	1.23940	1.29308	1.27600
8	1.85794	1.86014	1.87051	1.87205	1.87294	1.86323	1.86323	1.85948	1.86830	1.87801	1.90095	1.89147	1.89698	1.90779	1.90470	1.90978	1.90956	1.91331	1.91970	1.91816	1.91529
9	0.60118	0.60240	0.60224	0.60274	0.60162	0.60340	0.60301	0.60290	0.60235	0.60224	0.60357	0.60374	0.60357	0.60212	0.60101	0.60062	0.60012	0.59945	0.59851	0.59851	0.59801
10	1.29488	1.29305	1.29357	1.29801	1.30115	1.29879	1.29644	1.29252	1.29278	1.29514	1.29853	1.29383	1.29409	1.29148	1.28730	1.28782	1.28834	1.28521	1.28991	1.28965	1.28913
