State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.47778	1.29837	1.08015	0.88497	0.72131	0.57220	0.50431	0.49946	0.48492	0.46916	0.47279	0.48855	0.49704	0.51522	0.57099	0.70071	1.08985	1.66811	2.37124	2.97739	3.58717
2	5.46643	5.35118	5.32045	4.65971	3.69550	2.83501	1.97068	1.29458	1.08714	1.32147	1.29458	1.11787	1.20622	1.73635	3.05013	6.32692	10.27212	13.34530	14.97409	15.34671	14.93183
3	3.62238	3.74279	3.85095	3.88768	3.63871	3.19382	2.69179	2.18363	1.82854	1.78160	1.66527	1.52650	1.50813	1.69181	1.99996	2.36526	2.78566	3.03260	3.07545	3.05913	3.03872
4	4.18632	4.54237	4.87145	5.56737	6.17698	7.13184	8.14606	8.37263	7.39619	4.90921	3.47961	3.58750	3.39869	3.30158	3.50658	3.29079	2.74053	2.46000	2.48697	2.32513	2.15250
5	4.70127	5.39088	6.70338	8.33474	11.59745	16.63240	25.74574	39.47136	55.50312	66.09209	67.21921	53.33046	37.82517	24.43324	15.86121	10.22563	6.88876	5.02754	3.61123	2.86970	2.57309
6	7.74182	9.36430	11.30226	14.10153	17.19125	19.97049	21.57794	21.90845	20.75669	17.78215	20.64652	34.53272	43.35119	48.56915	49.12500	44.91357	37.64247	29.95574	23.58601	18.81873	15.19320
7	3.63248	3.88225	4.17940	4.93733	5.82015	6.88600	7.35755	7.08409	5.96442	6.29601	6.00102	4.11911	3.84780	3.68631	3.23629	2.76473	2.35562	1.96374	1.67090	1.52233	1.36514
8	2.12003	2.05033	1.95649	1.80871	1.63583	1.41874	1.18803	0.97211	0.82317	0.73770	0.70226	0.70538	0.76379	0.84108	0.91915	1.01066	1.09438	1.17751	1.24897	1.31984	1.38194
9	0.35229	0.34748	0.34252	0.33702	0.33158	0.32578	0.32053	0.31415	0.30924	0.30669	0.30350	0.30379	0.30541	0.30875	0.31341	0.31822	0.32338	0.32868	0.33555	0.34301	0.34998
10	1.21727	1.21174	1.20136	1.18430	1.16746	1.14256	1.11074	1.07292	1.04387	1.02980	1.02657	1.03418	1.06577	1.10013	1.14187	1.17715	1.20136	1.22142	1.23572	1.24632	1.25163
