State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.54554	0.37747	1.20255	2.18051	0.98362	0.47281	1.02688	0.25374
2	0.80332	0.67647	1.60751	2.15854	1.82398	1.29462	4.83873	0.21605
3	1.51214	0.92697	2.10031	1.34752	2.69188	1.66533	2.64487	0.38049
4	0.57203	1.86135	1.96245	1.01078	2.07853	3.47971	4.37608	0.40937
5	0.41616	61.01164	7.66988	1.11723	3.00826	67.22129	20.45398	0.33221
6	0.61625	27.83086	5.88746	1.97927	3.47290	20.64215	21.12217	0.21784
7	1.43318	5.59690	1.62173	0.76745	1.34202	6.00121	4.28498	0.66792
8	15.85016	0.89185	1.65945	1.14832	1.90115	0.70229	1.28867	0.56730
9	62.86824	0.20792	0.61529	0.85741	0.60358	0.30351	0.35578	1.22298
10	13.38297	1.36433	1.28671	1.13652	1.29841	1.02661	1.23542	0.84160
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
