State (Emission order)	H3K79me2	H4K20me1	H3k9me1	H3k4me1	H3K9me3	H2AFZ	H3k27ac	H3k9ac	H3k4me2	H3K27me3
1	0.5372218762957919	0.024184667503899998	0.007365704811485452	0.025991085697321295	0.015756091350019815	3.2106372707567355E-4	0.006869280005513552	0.0013873210975028924	1.1107704919803335E-4	2.845681575755546E-4
2	0.9273503160053169	0.12256772583815077	0.011962408232101247	0.6411386868941406	0.010688226127021125	0.022374811276940975	0.1882884355507332	0.11450224045357826	0.17573324514815877	3.006997195531524E-4
3	0.02539468772725702	0.03962719715421882	0.007563487152918758	0.6049976010449672	0.01787880822159643	0.05471790158357945	0.1095027099366032	0.019875387698522144	0.03043098853922424	0.005594640339208443
4	0.048691198264874086	0.021682304837193703	0.003946046976123211	0.9593522473682243	0.026064825871909354	0.7822506339025636	0.7678815576662451	0.49778083191498496	0.5130603282828553	0.004540733443652658
5	0.07122601683804926	0.004932071343139299	2.8183214721148756E-4	0.21878123933845683	0.006954751082087381	0.7971876168302873	0.652282938815356	0.8699915865308628	0.9401712834982393	0.0012757256919768392
6	0.9760883792891025	0.08282883450048864	0.003391380759661432	0.3819580593093172	0.008236039578158985	0.4638892014780933	0.8091560242748724	0.9638041260074938	0.97005200824616	1.2735906801772628E-4
7	0.0013201017727188494	0.005227677764929281	0.0010299056996971843	0.3189077330500176	0.013948602753516457	0.6764274994516001	0.028204039632659203	0.023799963520866795	0.09413293345498101	0.008821239609028699
8	0.004405418233793135	0.003606407900473175	0.001683023773433513	0.005873977284936571	0.012996655877106694	0.013419213143095623	0.004080572684684247	6.10245849053858E-4	1.0683328489180903E-7	0.0016375624427449995
9	1.7702250811378633E-4	0.0015617464663103197	0.002231489514630572	4.796569332945516E-4	0.0054131727550754	5.121217619785115E-4	8.497834133091588E-4	1.1763131283354082E-4	1.1906302157584935E-4	0.0011880498978486908
10	8.986984105559136E-5	0.026340839638142606	0.0025099926818140193	0.0026397474687701807	0.002699839435456393	0.004058262776921314	0.004929723896121323	3.584933564120441E-4	6.361398717743622E-4	0.055214937213104096
